Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,595.0,612.8,594.1,596.45,612.0,609.7,607.82,714.65,388.65,"538,020","327,020,631.20","15,808"
23-Jun-2023,EQ,597.0,602.25,591.3,599.1,593.0,596.45,596.74,714.65,388.65,"338,024","201,711,250.55","11,633"
22-Jun-2023,EQ,620.0,620.0,598.0,618.55,599.4,599.1,605.18,714.65,388.65,"477,746","289,122,505.35","14,842"
21-Jun-2023,EQ,614.05,626.45,613.75,614.1,618.0,618.55,621.2,714.65,388.65,"681,886","423,587,090.40","22,458"
20-Jun-2023,EQ,615.0,624.5,612.3,615.95,614.05,614.1,618.06,714.65,388.65,"524,866","324,401,083.90","15,762"
19-Jun-2023,EQ,607.05,619.95,607.0,608.45,615.0,615.95,615.63,714.65,388.65,"608,662","374,712,704.30","16,928"
16-Jun-2023,EQ,605.0,613.25,601.3,604.75,610.0,608.45,608.16,714.65,388.65,"307,799","187,191,369.80","10,700"
15-Jun-2023,EQ,613.8,614.6,600.15,613.8,604.6,604.75,606.38,714.65,388.65,"348,202","211,144,173.35","9,277"
14-Jun-2023,EQ,610.0,616.6,601.5,605.25,613.0,613.8,610.49,714.65,388.65,"863,190","526,966,828.20","21,832"
13-Jun-2023,EQ,602.8,607.95,593.35,597.7,606.0,605.25,602.3,714.65,388.65,"732,052","440,915,270.00","20,131"
12-Jun-2023,EQ,580.4,604.9,579.0,577.4,597.1,597.7,596.6,714.65,388.65,"1,319,484","787,203,635.20","35,424"
09-Jun-2023,EQ,574.3,583.85,572.0,574.3,575.25,577.4,577.22,714.65,388.65,"300,911","173,692,935.40","13,814"
08-Jun-2023,EQ,589.9,590.0,572.5,587.3,574.8,574.3,579.26,714.65,388.65,"471,727","273,251,415.25","19,062"
07-Jun-2023,EQ,594.0,596.05,578.7,590.55,588.0,587.3,585.75,714.65,388.65,"409,555","239,896,339.20","16,971"
06-Jun-2023,EQ,597.0,597.0,584.05,597.35,589.75,590.55,589.23,714.65,388.65,"601,096","354,184,314.20","15,965"
05-Jun-2023,EQ,597.95,602.95,592.6,595.7,595.0,597.35,598.27,714.65,388.65,"403,636","241,485,124.70","13,895"
02-Jun-2023,EQ,606.0,607.95,592.0,602.5,595.5,595.7,598.8,719.0,388.65,"479,303","287,006,333.65","15,007"
01-Jun-2023,EQ,587.05,605.0,586.75,586.0,599.05,602.5,597.05,719.0,388.65,"1,025,639","612,357,877.50","27,864"
31-May-2023,EQ,567.5,589.05,565.25,569.4,585.05,586.0,581.64,719.0,388.65,"872,996","507,771,364.40","26,162"
30-May-2023,EQ,566.5,573.95,563.55,566.5,568.6,569.4,569.13,719.0,388.65,"320,856","182,607,378.00","10,159"
29-May-2023,EQ,569.2,575.45,563.1,567.0,569.95,566.5,569.26,719.0,388.65,"560,074","318,828,821.80","19,155"
26-May-2023,EQ,566.0,577.95,565.0,564.95,567.9,567.0,571.8,719.0,388.65,"806,979","461,430,574.30","22,696"
25-May-2023,EQ,564.65,568.0,558.05,564.65,565.0,564.95,563.34,719.0,388.65,"513,683","289,379,567.90","13,090"
24-May-2023,EQ,552.5,568.8,551.4,557.7,564.0,564.65,563.38,719.0,388.65,"780,794","439,885,948.65","18,895"
23-May-2023,EQ,563.05,565.8,553.05,560.6,555.55,557.7,557.98,719.0,388.65,"741,395","413,684,661.10","20,337"
22-May-2023,EQ,540.0,568.0,540.0,546.7,559.1,560.6,556.6,719.0,388.65,"1,218,909","678,441,378.55","29,061"
19-May-2023,EQ,552.9,554.4,539.95,551.2,545.0,546.7,546.96,719.0,388.65,"859,528","470,124,379.85","21,053"
18-May-2023,EQ,546.95,558.0,543.75,546.3,552.15,551.2,552.94,719.0,388.65,"1,071,961","592,733,091.25","29,059"
17-May-2023,EQ,543.0,550.0,534.95,540.15,544.5,546.3,542.85,719.0,388.65,"1,146,240","622,238,412.90","29,019"
16-May-2023,EQ,546.95,548.0,534.0,542.55,541.5,540.15,542.01,719.0,388.65,"1,524,492","826,293,211.75","37,731"
15-May-2023,EQ,535.0,555.0,530.0,531.35,542.4,542.55,545.43,719.0,388.65,"5,305,737","2,893,889,300.65","90,681"
12-May-2023,EQ,484.0,534.2,478.05,466.4,532.0,531.35,516.94,719.0,388.65,"13,952,767","7,212,704,068.15","175,167"
11-May-2023,EQ,460.0,470.95,460.0,458.65,465.5,466.4,466.22,719.0,388.65,"489,038","227,996,953.65","13,717"
10-May-2023,EQ,468.0,469.7,456.5,464.35,459.0,458.65,463.1,719.0,388.65,"402,540","186,414,514.00","10,706"
09-May-2023,EQ,459.6,475.0,457.75,457.2,465.95,464.35,468.16,719.0,388.65,"824,716","386,100,378.95","20,664"
08-May-2023,EQ,451.75,460.85,451.75,450.6,457.15,457.2,457.28,719.0,388.65,"253,681","116,004,387.95","8,527"
05-May-2023,EQ,453.0,455.0,446.3,452.65,449.75,450.6,450.77,807.0,388.65,"227,443","102,525,109.30","6,510"
04-May-2023,EQ,447.6,457.4,446.4,448.45,453.0,452.65,452.73,807.0,388.65,"372,235","168,522,995.90","11,167"
03-May-2023,EQ,446.0,451.15,443.7,448.7,448.3,448.45,447.76,807.0,388.65,"244,303","109,389,523.95","9,186"
02-May-2023,EQ,450.7,457.1,444.0,445.9,448.8,448.7,451.87,807.0,388.65,"484,811","219,072,420.20","11,903"
28-Apr-2023,EQ,443.0,450.5,440.05,439.25,445.0,445.9,445.26,852.0,388.65,"433,496","193,016,657.80","12,422"
27-Apr-2023,EQ,430.7,446.75,429.05,430.7,440.15,439.25,440.09,852.0,388.65,"479,881","211,192,578.50","14,026"
26-Apr-2023,EQ,430.3,438.25,428.5,433.25,428.5,430.7,433.02,852.0,388.65,"144,252","62,464,049.70","4,333"
25-Apr-2023,EQ,437.0,446.9,428.3,436.3,433.7,433.25,438.3,852.0,388.65,"423,358","185,557,519.45","12,600"
24-Apr-2023,EQ,432.0,440.4,424.2,428.3,436.0,436.3,435.52,852.0,388.65,"307,413","133,885,243.45","9,333"
21-Apr-2023,EQ,432.45,432.45,423.05,426.8,429.25,428.3,427.05,895.7,388.65,"204,590","87,370,600.70","5,858"
20-Apr-2023,EQ,430.0,435.0,425.6,430.0,426.55,426.8,429.36,895.7,388.65,"157,878","67,786,443.60","6,634"
19-Apr-2023,EQ,439.7,440.5,427.75,437.55,428.2,430.0,433.54,895.7,388.65,"238,870","103,558,702.80","8,938"
18-Apr-2023,EQ,433.95,439.25,427.4,432.8,438.7,437.55,433.67,895.7,388.65,"241,886","104,899,654.25","11,175"
17-Apr-2023,EQ,425.0,436.5,412.95,431.7,433.4,432.8,426.32,895.7,388.65,"461,311","196,665,851.70","13,383"
13-Apr-2023,EQ,432.0,434.9,426.1,434.6,432.9,431.7,430.3,964.0,388.65,"227,743","97,996,776.20","8,098"
12-Apr-2023,EQ,426.6,438.2,426.25,426.6,436.0,434.6,434.77,964.0,388.65,"390,789","169,902,204.05","13,723"
11-Apr-2023,EQ,435.0,440.25,424.5,433.45,425.5,426.6,433.2,964.0,388.65,"920,801","398,894,045.55","24,483"
10-Apr-2023,EQ,420.05,435.7,420.05,430.3,433.05,433.45,432.03,964.0,388.65,"267,822","115,706,803.95","10,169"
06-Apr-2023,EQ,428.0,432.55,423.35,428.65,430.0,430.3,428.79,986.65,388.65,"204,179","87,550,005.00","7,954"
05-Apr-2023,EQ,427.45,431.7,421.1,424.75,431.4,428.65,425.56,986.65,388.65,"210,622","89,632,589.25","6,879"
03-Apr-2023,EQ,415.0,427.4,412.4,410.6,424.55,424.75,419.3,986.65,388.65,"336,490","141,090,667.95","11,081"
31-Mar-2023,EQ,400.0,412.9,400.0,397.75,410.5,410.6,408.01,986.65,388.65,"545,795","222,691,697.50","18,135"
29-Mar-2023,EQ,396.75,401.7,393.25,397.0,398.9,397.75,397.95,986.65,388.65,"412,029","163,966,018.95","11,208"
28-Mar-2023,EQ,398.95,401.95,392.95,398.55,395.0,397.0,397.62,986.65,388.65,"433,176","172,240,319.50","13,614"
27-Mar-2023,EQ,403.0,411.7,397.35,402.75,397.35,398.55,402.12,986.65,388.65,"492,341","197,980,075.85","12,290"
24-Mar-2023,EQ,407.85,414.0,400.5,406.95,404.0,402.75,404.87,986.65,388.65,"394,878","159,874,220.20","11,682"
23-Mar-2023,EQ,410.0,412.8,404.65,409.3,406.45,406.95,408.56,986.65,388.65,"331,263","135,339,626.20","10,260"
22-Mar-2023,EQ,412.0,417.8,407.7,409.8,408.45,409.3,411.88,986.65,388.65,"164,630","67,807,199.60","6,959"
21-Mar-2023,EQ,412.3,415.0,405.25,407.65,409.3,409.8,410.67,986.65,388.65,"282,645","116,075,076.25","10,510"
20-Mar-2023,EQ,405.0,415.0,403.0,415.85,407.0,407.65,406.64,986.65,388.65,"378,207","153,794,984.95","15,452"
17-Mar-2023,EQ,405.25,423.0,404.7,401.65,417.0,415.85,417.31,986.65,388.65,"1,304,999","544,594,294.10","30,176"
16-Mar-2023,EQ,400.0,403.9,388.65,399.55,403.9,401.65,398.61,986.65,388.65,"484,857","193,268,429.10","16,770"
15-Mar-2023,EQ,409.9,414.9,398.05,403.45,400.0,399.55,405.26,986.65,392.65,"470,926","190,849,233.30","14,703"
14-Mar-2023,EQ,425.0,426.0,392.65,423.1,402.0,403.45,404.48,986.65,392.65,"1,313,238","531,175,164.75","32,007"
13-Mar-2023,EQ,431.35,438.0,421.0,429.4,423.0,423.1,429.57,986.65,393.45,"398,678","171,261,383.30","14,472"
10-Mar-2023,EQ,443.95,443.95,425.1,445.75,431.0,429.4,430.81,986.65,393.45,"517,095","222,767,717.65","14,379"
09-Mar-2023,EQ,454.3,455.9,444.55,453.7,445.05,445.75,448.65,986.65,393.45,"189,974","85,232,357.85","6,773"
08-Mar-2023,EQ,453.1,456.3,444.8,454.1,454.95,453.7,450.49,986.65,393.45,"262,056","118,052,566.00","6,923"
06-Mar-2023,EQ,459.0,465.25,453.2,457.5,455.25,454.1,459.73,986.65,393.45,"263,167","120,986,787.65","8,495"
03-Mar-2023,EQ,448.0,459.7,444.45,444.85,456.2,457.5,453.69,986.65,393.45,"305,696","138,692,249.70","9,890"
02-Mar-2023,EQ,456.9,458.0,442.1,456.95,446.0,444.85,446.32,986.65,393.45,"386,587","172,542,074.40","11,360"
01-Mar-2023,EQ,453.15,458.15,451.05,449.9,457.9,456.95,454.52,986.65,393.45,"141,421","64,278,922.95","4,901"
28-Feb-2023,EQ,453.7,456.5,447.4,450.35,450.1,449.9,451.66,986.65,393.45,"239,547","108,193,406.85","7,522"
27-Feb-2023,EQ,463.4,463.4,445.85,461.6,452.0,450.35,451.62,986.65,393.45,"258,931","116,938,750.00","10,285"
24-Feb-2023,EQ,460.9,468.0,454.4,458.6,461.5,461.6,459.6,986.65,393.45,"282,311","129,750,760.40","8,659"
23-Feb-2023,EQ,461.3,464.65,453.0,459.65,459.9,458.6,460.19,986.65,393.45,"266,641","122,704,596.05","8,399"
22-Feb-2023,EQ,462.0,464.7,456.35,464.85,460.5,459.65,459.82,986.65,393.45,"228,238","104,948,916.65","6,586"
21-Feb-2023,EQ,466.5,473.1,462.2,465.4,464.0,464.85,466.95,986.65,393.45,"346,885","161,978,154.00","12,205"
20-Feb-2023,EQ,460.9,474.0,456.0,461.4,464.55,465.4,467.29,986.65,393.45,"472,034","220,576,590.50","15,448"
17-Feb-2023,EQ,468.0,471.75,456.8,470.8,460.9,461.4,462.79,986.65,393.45,"617,427","285,736,125.70","19,544"
16-Feb-2023,EQ,464.0,473.0,463.35,463.65,470.5,470.8,469.97,986.65,393.45,"567,648","266,778,336.50","19,646"
15-Feb-2023,EQ,456.5,465.55,453.75,457.65,463.25,463.65,460.46,986.65,393.45,"232,841","107,213,871.60","9,401"
14-Feb-2023,EQ,457.0,474.0,456.05,457.25,456.5,457.65,464.64,986.65,393.45,"534,003","248,120,452.40","16,564"
13-Feb-2023,EQ,464.35,464.5,452.35,464.3,458.5,457.25,457.36,986.65,393.45,"334,822","153,134,488.75","11,377"
10-Feb-2023,EQ,467.0,467.0,451.35,465.6,464.0,464.3,459.18,986.65,393.45,"610,872","280,500,550.75","15,977"
09-Feb-2023,EQ,465.7,469.45,459.05,461.85,466.9,465.6,464.57,986.65,393.45,"813,699","378,018,858.60","19,524"
08-Feb-2023,EQ,441.25,464.35,434.9,441.2,464.3,461.85,454.73,986.65,393.45,"1,443,441","656,373,797.95","33,088"
07-Feb-2023,EQ,422.6,445.65,420.55,421.45,439.9,441.2,438.19,986.65,393.45,"1,191,125","521,937,235.80","32,469"
06-Feb-2023,EQ,430.0,438.75,415.05,437.1,421.3,421.45,425.02,986.65,393.45,"744,965","316,627,693.30","21,291"
03-Feb-2023,EQ,443.1,444.45,432.1,439.8,436.0,437.1,437.11,986.65,393.45,"380,067","166,132,689.95","9,622"
02-Feb-2023,EQ,430.4,447.0,427.0,428.9,443.1,439.8,440.57,986.65,393.45,"399,151","175,854,486.15","20,306"
01-Feb-2023,EQ,440.8,446.9,423.3,439.8,428.1,428.9,435.93,986.65,393.45,"342,400","149,260,958.25","15,901"
31-Jan-2023,EQ,427.1,442.75,420.3,431.5,441.45,439.8,434.11,986.65,393.45,"777,253","337,410,006.00","28,070"
30-Jan-2023,EQ,403.4,433.05,393.9,401.3,430.55,431.5,424.48,986.65,393.45,"1,328,324","563,840,612.30","37,560"
27-Jan-2023,EQ,412.25,419.7,393.45,410.25,404.5,401.3,402.41,986.65,393.45,"614,581","247,315,017.40","27,329"
25-Jan-2023,EQ,422.8,429.0,405.6,426.7,411.0,410.25,413.66,986.65,405.6,"519,381","214,846,251.45","13,620"
24-Jan-2023,EQ,430.4,436.85,424.2,428.75,426.7,426.7,430.19,986.65,407.45,"604,181","259,912,596.85","13,543"
23-Jan-2023,EQ,412.25,430.85,410.25,411.45,428.9,428.75,423.66,986.65,407.45,"699,868","296,504,484.10","16,670"
20-Jan-2023,EQ,419.7,424.8,408.6,419.7,409.45,411.45,416.01,986.65,407.45,"355,440","147,866,008.90","9,406"
19-Jan-2023,EQ,424.8,425.0,417.5,426.55,419.45,419.7,421.04,986.65,407.45,"260,771","109,796,005.00","8,028"
18-Jan-2023,EQ,419.0,429.8,419.0,419.35,426.0,426.55,426.7,986.65,407.45,"337,594","144,052,785.90","12,743"
17-Jan-2023,EQ,420.0,422.5,415.0,420.4,419.5,419.35,418.38,986.65,407.45,"256,017","107,111,522.15","8,084"
16-Jan-2023,EQ,423.5,431.5,419.0,423.35,419.5,420.4,424.65,986.65,407.45,"313,530","133,141,733.15","11,643"
13-Jan-2023,EQ,424.35,426.75,415.0,422.2,422.4,423.35,420.51,986.65,407.45,"666,228","280,157,059.20","15,517"
12-Jan-2023,EQ,428.95,433.4,415.65,427.05,422.8,422.2,423.09,986.65,407.45,"329,139","139,257,025.30","12,808"
11-Jan-2023,EQ,427.65,435.0,424.25,425.85,425.85,427.05,429.55,986.65,407.45,"335,688","144,195,136.20","9,735"
10-Jan-2023,EQ,440.5,440.5,422.0,440.05,426.25,425.85,427.6,986.65,407.45,"540,870","231,276,876.80","13,828"
09-Jan-2023,EQ,423.95,445.0,422.15,421.85,439.55,440.05,436.34,986.65,407.45,"882,451","385,051,211.30","20,997"
06-Jan-2023,EQ,428.4,431.95,419.95,428.85,420.0,421.85,425.19,986.65,407.45,"226,919","96,482,756.90","6,954"
05-Jan-2023,EQ,440.0,440.45,426.3,438.8,429.95,428.85,430.67,986.65,407.45,"251,346","108,248,129.05","8,484"
04-Jan-2023,EQ,447.6,449.2,436.55,447.6,437.8,438.8,442.05,986.65,407.45,"240,806","106,447,994.70","8,958"
03-Jan-2023,EQ,447.0,452.25,445.2,447.7,447.0,447.6,448.03,986.65,407.45,"292,101","130,869,537.40","6,611"
02-Jan-2023,EQ,448.45,450.85,441.3,446.2,448.75,447.7,446.23,986.65,407.45,"190,812","85,146,712.00","6,133"
30-Dec-2022,EQ,441.0,455.9,441.0,440.9,447.95,446.2,449.44,986.65,407.45,"536,915","241,311,085.60","15,108"
29-Dec-2022,EQ,442.5,442.8,434.0,442.0,440.0,440.9,439.03,986.65,407.45,"382,036","167,725,527.85","13,299"
28-Dec-2022,EQ,440.0,447.75,437.45,443.0,441.0,442.0,443.18,986.65,407.45,"300,872","133,340,837.25","9,560"
27-Dec-2022,EQ,440.05,446.4,436.05,437.85,442.1,443.0,441.24,986.65,407.45,"785,800","346,726,334.85","17,139"
26-Dec-2022,EQ,423.1,442.8,423.1,424.9,440.0,437.85,436.24,986.65,407.45,"805,727","351,490,695.30","20,951"
23-Dec-2022,EQ,427.05,431.2,416.2,431.95,425.05,424.9,426.0,986.65,407.45,"643,579","274,165,572.10","16,022"
22-Dec-2022,EQ,429.15,435.65,424.0,427.75,431.2,431.95,429.05,986.65,407.45,"454,913","195,180,838.55","13,573"
21-Dec-2022,EQ,436.35,439.25,424.85,433.2,427.15,427.75,431.66,986.65,407.45,"504,417","217,736,771.10","15,256"
20-Dec-2022,EQ,425.55,435.6,419.0,425.5,433.6,433.2,429.03,986.65,407.45,"510,512","219,022,502.10","13,005"
19-Dec-2022,EQ,420.0,429.2,416.0,420.75,426.0,425.5,421.57,986.65,407.45,"299,798","126,384,988.20","9,885"
16-Dec-2022,EQ,427.0,430.0,413.4,430.05,420.75,420.75,421.67,986.65,407.45,"536,423","226,193,540.05","14,771"
15-Dec-2022,EQ,441.15,441.15,428.75,438.95,429.0,430.05,432.74,986.65,407.45,"409,349","177,143,032.60","9,016"
14-Dec-2022,EQ,431.0,443.15,429.2,428.85,439.0,438.95,435.51,986.65,407.45,"1,302,030","567,050,764.05","17,231"
13-Dec-2022,EQ,432.15,434.0,427.0,430.0,429.55,428.85,429.74,986.65,407.45,"385,799","165,793,129.25","6,316"
12-Dec-2022,EQ,428.0,431.4,423.0,427.55,429.75,430.0,429.55,986.65,407.45,"453,881","194,963,582.95","9,974"
09-Dec-2022,EQ,454.0,454.15,424.0,452.15,428.0,427.55,433.05,986.65,407.45,"952,584","412,513,369.95","20,319"
08-Dec-2022,EQ,448.45,454.55,444.65,446.65,452.0,452.15,449.8,986.65,407.45,"250,141","112,513,228.25","7,929"
07-Dec-2022,EQ,455.0,457.8,444.4,456.4,446.5,446.65,448.51,986.65,407.45,"362,743","162,693,112.45","11,407"
06-Dec-2022,EQ,462.0,465.55,453.75,464.6,456.0,456.4,459.13,986.65,407.45,"313,951","144,145,886.35","9,404"
05-Dec-2022,EQ,472.0,476.0,460.0,470.3,463.6,464.6,465.62,986.65,407.45,"692,294","322,345,994.20","18,618"
02-Dec-2022,EQ,466.5,472.4,461.3,468.0,471.85,470.3,467.42,986.65,407.45,"358,226","167,442,821.05","9,961"
01-Dec-2022,EQ,462.45,476.8,462.45,459.45,465.85,468.0,470.02,986.65,407.45,"1,049,706","493,378,015.90","24,849"
30-Nov-2022,EQ,451.95,462.25,449.0,450.85,459.0,459.45,457.22,986.65,407.45,"533,485","243,921,042.80","10,419"
29-Nov-2022,EQ,458.0,459.85,449.0,457.0,450.0,450.85,454.95,986.65,407.45,"300,847","136,871,345.80","9,961"
28-Nov-2022,EQ,447.0,458.8,442.25,443.8,457.4,457.0,453.78,986.65,407.45,"523,569","237,582,723.90","11,155"
25-Nov-2022,EQ,447.15,453.7,438.5,445.7,442.2,443.8,443.77,986.65,407.45,"345,020","153,110,925.65","9,319"
24-Nov-2022,EQ,440.25,448.0,437.75,438.05,444.2,445.7,442.88,986.65,407.45,"322,205","142,698,005.85","7,937"
23-Nov-2022,EQ,434.95,440.05,432.35,434.45,436.6,438.05,436.82,986.65,407.45,"438,066","191,354,555.05","20,805"
22-Nov-2022,EQ,442.4,445.9,430.75,442.35,434.05,434.45,435.86,986.65,407.45,"354,565","154,542,310.20","10,567"
21-Nov-2022,EQ,441.2,445.9,434.1,439.0,443.0,442.35,440.49,986.65,407.45,"293,127","129,119,382.40","8,893"
18-Nov-2022,EQ,450.65,450.7,435.5,448.55,438.0,439.0,441.18,986.65,407.45,"489,385","215,908,424.60","19,907"
17-Nov-2022,EQ,438.1,451.4,438.1,443.55,447.0,448.55,446.45,986.65,407.45,"529,179","236,253,828.95","16,097"
16-Nov-2022,EQ,459.5,463.9,440.5,458.05,442.8,443.55,450.7,986.65,407.45,"566,127","255,151,542.40","14,263"
15-Nov-2022,EQ,453.65,460.3,449.5,453.0,458.0,458.05,456.06,986.65,407.45,"420,296","191,679,819.55","12,941"
14-Nov-2022,EQ,444.95,457.1,443.0,445.25,451.05,453.0,451.2,986.65,407.45,"901,052","406,555,953.90","23,902"
11-Nov-2022,EQ,434.45,457.5,429.0,424.0,442.0,445.25,440.82,986.65,407.45,"1,364,971","601,700,171.65","31,075"
10-Nov-2022,EQ,428.4,431.5,418.5,427.0,424.95,424.0,424.94,986.65,407.45,"490,698","208,514,904.45","12,809"
09-Nov-2022,EQ,440.7,442.0,425.0,436.1,426.45,427.0,431.25,986.65,407.45,"570,871","246,189,411.05","17,529"
07-Nov-2022,EQ,431.95,446.0,430.0,431.95,437.3,436.1,437.57,986.65,407.45,"2,627,357","1,149,650,944.40","31,721"
04-Nov-2022,EQ,412.0,435.95,407.45,416.3,431.9,431.95,427.57,986.65,407.45,"2,500,183","1,068,996,612.15","99,065"
03-Nov-2022,EQ,421.0,425.75,411.5,423.8,411.85,416.3,417.42,986.65,411.5,"1,142,584","476,940,518.85","54,490"
02-Nov-2022,EQ,427.0,428.9,421.05,425.1,424.1,423.8,424.31,986.65,421.0,"938,581","398,248,401.30","41,224"
01-Nov-2022,EQ,437.0,438.0,421.0,431.6,424.9,425.1,426.0,986.65,421.0,"3,049,513","1,299,097,959.75","107,664"
31-Oct-2022,EQ,477.5,477.5,427.35,500.6,432.5,431.6,443.05,986.65,427.35,"6,384,567","2,828,700,880.30","184,176"
28-Oct-2022,EQ,507.0,511.8,498.05,507.1,501.95,500.6,504.39,986.65,498.05,"265,126","133,726,346.65","12,688"
27-Oct-2022,EQ,504.0,512.4,499.45,500.65,507.0,507.1,504.88,986.65,499.45,"317,557","160,327,094.00","10,659"
25-Oct-2022,EQ,510.0,512.55,499.7,511.7,500.6,500.65,503.79,986.65,499.7,"255,742","128,839,487.10","9,993"
24-Oct-2022,EQ,516.5,516.5,505.05,511.5,513.0,511.7,512.76,986.65,500.0,"51,551","26,433,118.20","2,212"
21-Oct-2022,EQ,515.55,517.1,504.85,512.95,511.3,511.5,510.74,986.65,500.0,"275,863","140,895,235.10","8,641"
20-Oct-2022,EQ,511.0,519.1,508.05,512.05,513.05,512.95,512.74,986.65,500.0,"230,320","118,094,131.65","8,401"
19-Oct-2022,EQ,524.0,524.95,510.2,523.4,512.9,512.05,516.9,986.65,500.0,"175,519","90,725,726.45","6,236"
18-Oct-2022,EQ,531.0,533.5,521.2,523.8,523.5,523.4,526.64,986.65,500.0,"210,271","110,737,136.35","8,882"
17-Oct-2022,EQ,521.05,529.7,517.95,528.3,523.9,523.8,524.31,986.65,500.0,"184,937","96,965,142.55","7,707"
14-Oct-2022,EQ,532.9,544.9,525.0,524.9,528.05,528.3,537.16,986.65,500.0,"932,391","500,842,653.95","22,667"
13-Oct-2022,EQ,521.0,529.0,516.9,521.05,525.0,524.9,522.36,986.65,500.0,"297,901","155,612,482.85","9,865"
12-Oct-2022,EQ,505.1,523.9,503.0,502.65,521.95,521.05,515.85,986.65,500.0,"565,300","291,611,179.40","14,004"
11-Oct-2022,EQ,522.6,540.0,500.0,519.9,501.95,502.65,524.83,986.65,500.0,"1,504,174","789,442,203.60","39,020"
10-Oct-2022,EQ,513.0,525.0,508.0,519.55,524.75,519.9,515.8,986.65,505.5,"234,350","120,877,449.05","11,354"
07-Oct-2022,EQ,522.8,522.8,513.25,525.55,518.25,519.55,518.21,986.65,505.5,"242,909","125,877,041.10","12,845"
06-Oct-2022,EQ,531.95,535.0,523.0,528.5,524.3,525.55,529.66,986.65,505.5,"494,297","261,808,365.50","13,986"
04-Oct-2022,EQ,518.0,530.5,516.05,511.7,528.95,528.5,526.11,986.65,505.5,"311,591","163,929,720.40","15,523"
03-Oct-2022,EQ,517.4,523.05,508.75,517.4,509.1,511.7,514.58,986.65,505.5,"295,327","151,969,246.40","24,056"
30-Sep-2022,EQ,506.9,520.0,505.5,511.5,519.0,517.4,514.84,986.65,505.5,"619,684","319,036,235.50","14,766"
29-Sep-2022,EQ,545.5,547.0,508.0,535.25,512.0,511.5,518.24,986.65,508.0,"796,262","412,657,385.45","26,729"
